"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"1",85455,5,"Allen","Alex","FR","RB",2,-2,0,0,0,0,0,0,0,0,0
"2",62905,5,"Arthur","Jabari","SO","WR",1,-15,0,1,0,0,0,0,482,3,30
"4",56606,5,"Berchie","Frank","SO","RB",4,18,0,0,0,0,0,0,0,0,0
"5",72939,5,"Biggs","Brett","SR","RB",284,1230,10,3,106,1,0,2,535,4,65
"7",60700,5,"Ferguson","John","SO","QB",1,2,0,9,48,0,0,3,0,0,0
"10",85466,5,"Getsy","Luke","JR","QB",56,-29,1,525,3455,23,12,278,0,0,0
"12",60705,5,"Hixon","Domenik","SR","WR",1,24,0,0,0,0,0,0,1210,8,75
"16",56593,5,"Kasparek","Kris","SO","TE",0,0,0,0,0,0,0,0,312,0,27
"17",72963,5,"Kennedy","Dennis","SO","RB",45,131,1,0,0,0,0,0,158,1,14
"19",72962,5,"Long","Johnny","SO","WR",0,0,0,0,0,0,0,0,156,0,15
"20",72946,5,"McDaniel","Joe","SO","RB",15,25,0,0,0,0,0,0,24,0,4
"22",45325,5,"Montgomery","Jason","SR","WR",2,11,0,0,0,0,0,0,702,7,48
"23",72948,5,"Patterson","Marcus","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"24",85483,5,"Poindexter","Merce","FR","TE",0,0,0,0,0,0,0,0,19,1,4
"25",30048,5,"Ringer","Jerell","SR","RB",8,5,0,0,0,0,0,0,11,0,1
"29",72956,5,"Walker","Andre","SO","RB",0,0,0,0,0,0,0,0,0,0,0
"33",73052,8,"Bennett","Kyle","JR","RB",0,0,0,0,0,0,0,0,3,0,1
"34",45336,8,"Brooks","Brandon","SR","WR",1,-3,0,0,0,0,0,0,20,0,2
"35",73057,8,"Brown","Keith","SO","WR",2,12,0,0,0,0,0,0,642,4,34
"36",73059,8,"Caddell","Matt","SO","WR",0,0,0,0,0,0,0,0,179,0,13
"37",84905,8,"Coffee","Glen","FR","RB",48,179,0,0,0,0,0,0,91,1,8
"39",30138,8,"Croyle","Brodie","SR","QB",64,-156,1,339,2499,14,4,202,0,0,0
"40",45346,8,"Darby","Ken","JR","RB",239,1242,3,0,0,0,0,0,132,0,29
"44",73080,8,"Guillon","Marc","JR","QB",0,0,0,1,0,0,0,0,0,0,0
"45",73081,8,"Hall","Dj","SO","WR",0,0,0,0,0,0,0,0,676,5,48
"47",61,8,"Johns","Jimmy","FR","RB",38,202,0,0,0,0,0,0,0,0,0
"48",45381,8,"Johnston","Clint","SR","TE",0,0,0,0,0,0,0,0,0,0,0
"49",73087,8,"Knight","Ezekial","SO","WR",0,0,0,0,0,0,0,0,126,1,11
"51",84908,8,"Mccall","Travis","FR","TE",0,0,0,0,0,0,0,0,22,0,3
"52",73091,8,"McClain","Le'Ron","JR","RB",8,39,0,0,0,0,0,0,140,2,18
"53",45377,8,"McKnight","Marcus","JR","WR",0,0,0,0,0,0,0,0,13,0,2
"55",45335,8,"Miller","Matt","SR","WR",0,0,0,0,0,0,0,0,52,0,4
"57",73097,8,"Oakley","Will","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"59",73098,8,"Prothro","Tyrone","JR","WR",9,92,0,0,0,0,0,0,325,3,17
"61",73107,8,"Stamps","Marcel","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"64",73113,8,"Walker","Nick","SO","TE",0,0,0,0,0,0,0,0,120,0,9
"65",84902,8,"Wilson","John Parker","FR","QB",3,-6,1,11,98,2,0,7,0,0,0
"66",73140,9,"Alexander","Brandon","FR","RB",8,21,0,0,0,0,0,0,0,0,0
"73",45394,9,"Burks","Dan","JR","RB",67,321,4,0,0,0,0,0,33,0,5
"74",64976,9,"Chaney","Trey","JR","RB",38,156,0,0,0,0,0,0,66,1,10
"75",81945,9,"Cleveland","Chico","SR","TE",0,0,0,0,0,0,0,0,312,4,25
"76",45400,9,"Cook","Jhun","SR","WR",0,0,0,0,0,0,0,0,653,2,42
"77",64977,9,"Coon","Nick","JR","WR",0,0,0,0,0,0,0,0,8,0,1
"79",60916,9,"Drinkard","Norris","JR","WR",13,45,0,0,0,0,0,0,390,2,41
"80",60918,9,"Duncan","Carl","SR","WR",0,0,0,0,0,0,0,0,118,0,12
"82",73122,9,"Elliott","Marculus","JR","RB",49,295,2,0,0,0,0,0,6,0,2
"83",64979,9,"Erwin","Jordan","JR","TE",0,0,0,0,0,0,0,0,0,0,0
"87",45412,9,"Hackney","Darrell","SR","QB",51,105,1,386,3180,22,12,242,-2,0,1
"88",45414,9,"Hampton","Cedric","SR","TE",0,0,0,0,0,0,0,0,181,0,15
"91",73146,9,"Hughey","Nolan","FR","RB",0,0,0,0,0,0,0,0,3,0,1
"97",73130,9,"Lindsey","Reggie","SR","WR",2,0,0,0,0,0,0,0,978,11,53
"104",65930,9,"Rhodes","Lance","SR","WR",0,0,0,0,0,0,0,0,374,3,24
"106",64984,9,"Sigler","David","SO","TE",0,0,0,0,0,0,0,0,4,0,1
"113",64985,9,"White","Corey","JR","RB",130,632,7,0,0,0,0,0,79,0,10
"114",60929,9,"Williams","Chris","JR","QB",1,3,0,3,33,1,0,3,0,0,0
"116",61826,28,"Bisnett","Stephen","SR","WR",0,0,0,0,0,0,0,0,14,0,1
"117",69281,28,"Burgess","Rudy","SO","WR",145,644,6,1,43,1,0,1,655,4,59
"118",43852,28,"Burghgraef","Lee","SR","TE",0,0,0,0,0,0,0,0,30,1,4
"119",43853,28,"Canidate","Cornell","SR","RB",6,25,0,0,0,0,0,0,9,0,1
"120",69289,28,"Carpenter","Rudy","SO","QB",42,-9,1,228,2273,17,2,156,-6,0,1
"121",43856,28,"Christensen","Chad","SR","QB",1,8,1,0,0,0,0,0,19,0,2
"122",69300,28,"Gray","Jeff","SO","WR",0,0,0,0,0,0,0,0,15,0,1
"123",43864,28,"Hagan","Derek","SR","WR",0,0,0,0,0,0,0,0,1210,8,77
"124",43867,28,"Hill","Randy","JR","RB",3,10,0,0,0,0,0,0,8,0,1
"125",69279,28,"Jones","Michael","SO","WR",0,0,0,0,0,0,0,0,22,0,4
"126",76477,28,"Jones","Preston","SO","RB",39,187,2,0,0,0,0,0,3,0,1
"127",61840,28,"Keller","Sam","JR","QB",20,-94,1,264,2165,20,9,155,0,0,0
"128",69303,28,"Kimbrough","Nate","SO","WR",0,0,0,0,0,0,0,0,76,1,7
"129",69323,28,"King","Alex","JR","WR",0,0,0,0,0,0,0,0,0,0,0
"130",43877,28,"Lewis","Jamaal","JR","TE",0,0,0,0,0,0,0,0,446,5,23
"131",69369,28,"Miller","Brent","SO","TE",0,0,0,0,0,0,0,0,111,2,7
"132",43886,28,"Miller","Matt","SR","WR",0,0,0,0,0,0,0,0,563,7,24
"133",69368,28,"Miller","Zach","SO","TE",0,0,0,0,0,0,0,0,476,4,38
"134",69367,28,"Mills","Kellen","SO","TE",0,0,0,0,0,0,0,0,0,0,0
"135",43887,28,"Mutz","Moey","SR","WR",0,0,0,0,0,0,0,0,331,1,21
"136",76478,28,"Payton","Jeremy","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"137",69370,28,"Pettes","Andrew","SO","TE",0,0,0,0,0,0,0,0,0,0,0
"138",43895,28,"Richardson","Terry","JR","WR",7,56,0,0,0,0,0,0,495,5,37
"139",69363,28,"Thompson","Tyrice","SO","TE",0,0,0,0,0,0,0,0,0,0,0
"141",69322,28,"Wilks","Price","SO","RB",3,7,0,0,0,0,0,0,0,0,0
"144",58380,29,"Austin","Adam","JR","QB",2,-15,0,5,32,0,0,3,0,0,0
"145",30394,29,"Bell","Mike","SR","RB",200,952,5,0,0,0,0,0,197,0,18
"146",72725,29,"Bell","Travis","FR","TE",0,0,0,0,0,0,0,0,42,2,4
"149",58386,29,"Eidson","Ryan","JR","WR",1,-7,0,0,0,0,0,0,0,0,0
"151",45567,29,"Harris","Gilbert","SR","RB",79,284,5,0,0,0,0,0,107,2,22
"152",58392,29,"Henry","Chris","SO","RB",34,119,0,0,0,0,0,0,-3,0,2
"153",45569,29,"Jefferson","Mike","JR","WR",0,0,0,0,0,0,0,0,64,0,4
"154",58394,29,"Johnson","Anthony","SO","WR",1,-3,0,1,34,0,0,1,419,3,32
"156",58395,29,"Kilpatrick","Ryan","SO","TE",0,0,0,0,0,0,0,0,16,0,1
"157",58396,29,"Kovalcheck","Richard","SO","QB",25,-32,0,220,1351,10,11,125,0,0,0
"158",30419,29,"Limon","Pedro","SR","RB",0,0,0,0,0,0,0,0,0,0,0
"160",81716,29,"McCall","Brandyn","JR","TE",0,0,0,0,0,0,0,0,0,0,0
"161",72739,29,"McCoy","Bobby","SO","WR",0,0,0,0,0,0,0,0,5,0,1
"167",58409,29,"Steptoe","Syndric","JR","WR",8,73,0,0,0,0,0,0,493,1,37
"168",81696,29,"Thomas","Michael","FR","WR",5,40,1,0,0,0,0,0,771,5,52
"169",81695,29,"Tuitama","Willie","FR","QB",16,-35,0,142,1105,9,5,82,0,0,0
"171",72754,29,"Wood","Brad","JR","TE",0,0,0,0,0,0,0,0,304,6,27
"173",63194,30,"Bracey","Shermar","SR","RB",107,699,5,0,0,0,0,0,124,1,12
"174",43958,30,"Burton","Manuel","SR","TE",0,0,0,0,0,0,0,0,135,2,12
