"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"2",62905,5,"Arthur","Jabari","JR","WR",0,0,0,0,0,0,0,0,730,4,45
"8",85466,5,"Getsy","Luke","SR","QB",58,-142,0,380,2662,18,11,199,24,0,1
"10",1000002,5,"Harvey","David","FR","WR",2,7,0,0,0,0,0,0,914,10,43
"11",85469,5,"Jackson","Carlton","FR","QB",2,-6,0,1,2,0,0,1,0,0,0
"14",56593,5,"Kasparek","Kris","JR","TE",0,0,0,0,0,0,0,0,152,0,12
"15",72963,5,"Kennedy","Dennis","SO","RB",226,914,9,2,56,0,0,2,193,0,39
"16",85475,5,"Lindsay","Jermaine","FR","WR",1,3,0,0,0,0,0,0,477,2,34
"17",72962,5,"Long","Johnny","JR","WR",0,0,0,0,0,0,0,0,47,0,5
"18",72946,5,"McDaniel","Joe","SO","RB",1,0,0,0,0,0,0,0,20,0,3
"19",1000009,5,"McMillon","Bryant","FR","RB",1,1,0,0,0,0,0,0,0,0,0
"22",72948,5,"Patterson","Marcus","JR","WR",0,0,0,0,0,0,0,0,0,0,0
"23",85483,5,"Poindexter","Merce","SO","TE",0,0,0,0,0,0,0,0,127,2,12
"25",1000008,5,"Reed","Aaris","FR","RB",5,26,0,0,0,0,0,0,0,0,0
"28",85491,5,"Tuzze","Joe","FR","RB",0,0,0,0,0,0,0,0,5,0,1
"29",72956,5,"Walker","Andre","JR","RB",65,245,4,0,0,0,0,0,31,0,7
"32",63,8,"Barger","Danny","SR","WR",0,0,0,0,0,0,0,0,0,0,0
"33",1000030,8,"Barnes","Jimmy","FR","QB",2,-5,0,11,45,1,0,6,0,0,0
"34",73057,8,"Brown","Keith","JR","WR",6,45,0,1,0,0,0,0,590,3,44
"35",73059,8,"Caddell","Matt","JR","WR",1,10,0,0,0,0,0,0,150,2,16
"37",45346,8,"Darby","Kenneth","SR","RB",210,835,0,0,0,0,0,0,130,1,23
"39",1000074,8,"Grant","Terry","FR","RB",2,22,0,0,0,0,0,0,0,0,0
"41",73080,8,"Guillon","Marc","SR","QB",0,0,0,2,15,0,0,2,0,0,0
"42",73081,8,"Hall","DJ","JR","WR",6,48,0,0,0,0,0,0,1056,5,62
"45",61,8,"Johns","Jimmy","SO","RB",66,293,1,0,0,0,0,0,16,0,1
