"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"1",1022862,5,"Alexander","Broderick","SO","RB",48,196,0,0,0,0,0,0,37,0,4
"2",1038360,5,"Bostick","Karl","FR","RB",27,82,1,0,0,0,0,0,10,0,4
"4",1030822,5,"Chisholm","Jawon","FR","RB",218,961,5,4,8,1,0,1,84,0,12
"6",1022884,5,"Dillard","Jerrod","SO","WR",1,-11,0,0,0,0,0,0,76,1,7
"9",1022860,5,"Fleming","Will","SO","TE",0,0,0,0,0,0,0,0,51,0,4
"12",1015226,5,"Ladrach","Rhyne","JR","TE",0,0,0,0,0,0,0,0,62,0,11
"13",1022879,5,"Meriwether","Anthony","JR","WR",0,0,0,0,0,0,0,0,6,0,1
"14",1024941,5,"Moore","Clayton","SO","QB",91,132,1,309,1655,9,9,147,8,1,1
"15",1022859,5,"Nicely","Patrick","JR","QB",8,0,0,61,256,2,2,22,0,0,0
"17",1030809,5,"Potts","Dylan","SO","WR",0,0,0,1,41,0,0,1,22,0,2
"18",1017961,5,"Price","A.J.","JR","WR",0,0,0,0,0,0,0,0,196,1,12
"20",1030833,5,"Ritossa","Anthony","FR","TE",0,0,0,0,0,0,0,0,42,0,5
"22",1030819,5,"Russell","Antoine","SO","WR",2,11,0,0,0,0,0,0,276,0,22
"23",1030818,5,"Sconiers","Keith","SO","WR",0,0,0,0,0,0,0,0,639,5,47
"25",1030832,5,"Suel","Marquelo","JR","WR",0,0,0,0,0,0,0,0,417,4,34
"31",1022908,8,"Bell","Kenny","SO","WR",0,0,0,0,0,0,0,0,255,2,17
"33",1030859,8,"Buck","Hardie","JR","WR",0,0,0,0,0,0,0,0,0,0,0
"41",1030866,8,"Fowler","Jalston","SO","RB",56,385,4,0,0,0,0,0,0,0,0
"42",1007964,8,"Gibson","Brandon","SR","WR",0,0,0,0,0,0,0,0,140,1,14
