Year,Round,Pick,Overall,Name,Team,Position,School,Rec.Yards,Rec.TD,Rec,CONF,P_five,Pos,RAS,AllTime,Games
2021,5,35,179,Simi Fehoko,COWBOYS,WR,Stanford,574,3,37,P12,1,WR,9.18,9.2,6
2021,5,37,181,Cornell Powell,CHIEFS,WR,Clemson,882,7,53,ACC,1,WR,7.57,7.7,12
2022,1,10,10,Garrett Wilson,JETS,WR,Ohio State,1058,12,70,B10,1,WR,7.77,7.77,11
2022,1,11,11,Chris Olave,SAINTS,WR,Ohio State,936,13,65,B10,1,WR,8.64,8.64,11
2022,1,15,16,Jahan Dotson,COMMANDERS,WR,Penn State,1182,12,91,B10,1,WR,6.33,6.33,12
2022,1,18,18,Treylon Burks,TITANS,WR,Arkansas,1104,11,66,SEC,1,WR,5.79,5.79,12
2022,2,11,43,Wan'Dale Robinson,GIANTS,WR,Kentucky,1334,7,104,SEC,1,WR,7.36,7.36,13
2022,2,18,50,Tyquan Thornton,PATRIOTS,WR,Baylor,948,10,62,B12,1,WR,8.54,8.54,14
2022,2,20,52,George Pickens,STEELERS,WR,Georgia,727,8,49,SEC,1,WR,9.35,9.35,12
2022,2,21,53,Alec Pierce,COLTS,WR,Cincinnati,884,8,52,Amer,0,WR,9.83,9.83,14
2022,2,22,54,Skyy Moore,CHIEFS,WR,Western Michigan,1292,10,95,MAC,0,WR,7.58,7.58,12
2022,3,24,88,Jalen Tolbert,COWBOYS,WR,South Alabama,1474,8,82,SB,0,WR,8.62,8.62,12
2022,3,35,99,David Bell,BROWNS,WR,Purdue,1286,6,93,B10,1,WR,3.99,3.99,11
2022,4,20,125,Erik Ezukanma,DOLPHINS,WR,Texas Tech,748,6,46,B12,1,WR,7.03,7.03,10
2022,4,43,148,Khalil Shakir,BILLS,WR,Boise State,1117,7,77,NP5,0,WR,8.31,8.31,12
