"Overall","yds_game","Rec.TD","RAS","P_five"
24,1.09282282376849,2.09442938804862,0.895544263431349,"1"
39,-0.00585367600757953,-1.53677945810379,0.475042478319815,"1"
60,1.55130636681472,1.18662717651052,0.095565257609407,"1"
78,-0.703085462144827,-0.402026693681159,-1.2428611559773,"1"
82,0.633252826828783,-0.628977246565684,1.06477059158599,"0"
84,0.763394482497119,0.732726070741467,-0.212118975399032,"1"
90,-1.35821715990994,-1.08287835233473,0.644268806474457,"0"
99,0.150867298126114,0.278824964972416,-1.55054538898574,"0"
101,-0.775606259534249,0.0518744120878913,-0.401857585754237,"1"
107,-0.820422482640071,-0.402026693681159,0.664781088675019,"0"
108,-1.37334991056905,-0.855927799450209,-0.776206735914504,"1"
156,0.141089213084844,-1.08287835233473,-1.22747694432688,"1"
159,-0.822517786577487,-0.175076140796634,0.228895091913064,"1"
165,-0.253021936773024,-0.402026693681159,0.0442845521080002,"1"
4,0.349362424463902,-0.402026693681159,1.04425830938543,"1"
6,-0.0381756793384452,-0.628977246565684,1.34168640129359,"1"
26,-0.109881636307761,-0.402026693681159,0.910928475081771,"1"
44,0.229091978456277,-0.175076140796634,-1.0274821928714,"0"
58,-0.292405890411474,0.505775517856942,1.3057899074426,"1"
64,-0.416261634267565,-0.628977246565684,-1.8736138336446,"1"
78,-0.631379505175512,0.0518744120878913,0.35196878511644,"0"
82,0.675624528674288,0.0518744120878913,-2.35565246535783,"0"
83,-0.142475253111996,-1.30982890521926,-0.89928042911788,"0"
107,-1.19258232542297,-1.53677945810379,0.480170548869956,"1"
111,-0.756538993703772,-1.08287835233473,0.392993349517565,"0"
112,1.98612073575311,0.959676623625992,0.792982852428536,"0"
114,0.492013820677101,1.86747883516409,0.475042478319815,"0"
123,-0.334234365310241,-1.08287835233473,-1.25824536762773,"1"
132,0.52569389137481,1.18662717651052,1.15194779093838,"0"
148,-0.533598654762808,-0.175076140796634,0.249407374113627,"1"
153,-1.85689949701473,0.0518744120878913,-1.20696466212632,"0"
155,-1.32189855832808,-1.30982890521926,0.762214429127691,"1"
5,2.07715005125637,2.32137994093314,-0.00699615339340614,"1"
13,0.00745538418748247,-0.175076140796634,0.100693328159548,"1"
20,1.68928601128598,0.959676623625992,-2.18642613720318,"1"
30,0.427913040962107,-0.402026693681159,0.849391628480083,"1"
43,-1.05835588531098,-1.08287835233473,1.19297235533951,"1"
45,0.860244086715416,-0.175076140796634,0.875031981230786,"1"
63,-0.955685992377644,-0.402026693681159,-0.791590947564926,"1"
83,0.199757723332466,-0.628977246565684,-0.42749793850494,"1"
92,-0.347815038978673,-0.628977246565684,-1.03261026342154,"0"
96,0.603918571704972,-0.175076140796634,0.0596687637584223,"1"
104,-0.860349663225259,-0.855927799450209,-1.8736138336446,"1"
118,0.213066783527528,0.505775517856942,-0.11468563494636,"1"
121,-1.37940301083269,-1.30982890521926,0.239151233013345,"1"
122,-0.712863547186098,0.0518744120878913,0.957081110033037,"1"
134,-0.817163120959648,-0.628977246565684,1.20322849643979,"1"
152,-0.995031144091327,-1.53677945810379,-0.314680386401845,"1"
166,-0.973612481619973,-1.53677945810379,0.798110922978676,"1"
168,0.323613467188556,0.278824964972416,-1.31978221422941,"1"
8,0.463766019446764,0.505775517856942,-0.437754079605221,"1"
27,0.848370697736731,1.86747883516409,-1.21209273267646,"1"
29,-0.983933793607981,-1.08287835233473,0.192998598062079,"1"
34,0.093013628298598,-0.175076140796634,0.705805653076145,"1"
59,-1.29819058229547,-1.08287835233473,0.623756524273894,"0"
74,2.24011813527754,0.505775517856942,-1.30439800257899,"1"
78,-2.24449192351175,-1.76373001098831,1.00836181553444,"1"
79,0.323613467188556,0.278824964972416,0.551963536571925,"1"
92,1.57194899079073,3.45613270535577,-0.853127794166614,"1"
101,-2.00031141095336,-0.175076140796634,-2.77615425046936,"1"
102,-0.47818950619561,-0.175076140796634,1.17758814368908,"0"
123,-0.937759503135315,-1.53677945810379,-0.0736610705452346,"1"
128,1.18408495082035,0.732726070741467,-0.853127794166614,"0"
144,-0.589007803330007,0.278824964972416,-0.0890452821956567,"1"
4,1.04067303688171,0.505775517856942,0.587860030422909,"1"
7,0.812517719252073,0.505775517856942,-0.155710199347485,"1"
12,0.0237521925895998,-0.402026693681159,0.772470570227973,"1"
20,1.90766324387435,1.41357772939504,0.941696898382615,"1"
28,-0.671190279986398,1.18662717651052,-1.95566296244685,"1"
42,1.08304473872722,-0.628977246565684,1.06477059158599,"1"
45,1.01106716828453,0.0518744120878913,0.167358245311376,"1"
53,1.87181026538969,3.22918215247124,-0.391601444653955,"0"
56,0.138916305297895,-0.175076140796634,1.34681447184373,"1"
61,1.32532395697203,-0.855927799450209,0.798110922978676,"1"
63,0.157386021486961,0.0518744120878913,-3.60690167959214,"1"
86,-0.0153601475754814,0.505775517856942,-0.35570495080297,"1"
90,-0.540117378123656,0.0518744120878913,1.10579515598712,"1"
104,-0.25981227360724,0.505775517856942,-1.71464364659024,"1"
106,-0.994526719069357,-0.402026693681159,0.98272146278374,"1"
118,-1.0322809918676,-0.628977246565684,1.10066708543697,"1"
123,-1.72543857590431,-0.628977246565684,-0.714669889312816,"1"
142,0.326057988448874,-0.855927799450209,-1.13517167442435,"0"
146,-0.553154824845349,-1.08287835233473,0.849391628480083,"1"
176,-0.207662486720464,-0.628977246565684,-1.3556787080804,"1"
24,-0.0835351293910053,1.41357772939504,1.20322849643979,"1"
26,-0.779137234688041,0.959676623625992,-1.11465939222379,"1"
40,0.668562578366704,0.0518744120878913,1.28527762524204,"0"
47,-0.442336527710952,0.959676623625992,-0.545443561158175,"1"
51,1.03415431352087,1.86747883516409,1.00836181553444,"0"
60,1.31771877971771,0.732726070741467,-0.894152358567739,"1"
81,0.874445591180118,0.959676623625992,-0.735182171513379,"1"
103,0.926595378066893,0.0518744120878913,-0.853127794166614,"1"
105,-1.18519937737413,-0.855927799450209,-0.560827772808597,"1"
113,-0.937759503135315,-0.175076140796634,0.403249490617846,"1"
132,0.0788897276834299,-0.175076140796634,0.151974033660954,"0"
144,0.853585676425408,0.959676623625992,1.18271621423923,"0"
162,2.21983766259935,-0.175076140796634,-1.45311204853307,"1"
174,-2.73882844504264,-2.21763111675736,1.0032337449843,"0"
15,-0.0164466014689557,0.959676623625992,-0.278783892550861,"1"
17,0.594140486663702,0.959676623625992,0.0699249048587038,"1"
21,-0.272849720328933,-0.175076140796634,-0.648004972160988,"1"
22,0.619128926213615,1.86747883516409,1.22374077864035,"1"
25,0.477889920061932,1.41357772939504,0.592988100973051,"1"
33,-0.434514059677936,0.732726070741467,-1.62746644723785,"1"
49,-0.351074400659096,0.732726070741467,1.37245482459443,"1"
59,0.107137528913766,-0.402026693681159,1.26476534304148,"1"
92,0.786442825808685,-0.175076140796634,0.285303867964611,"1"
128,0.650907702597744,0.505775517856942,-0.232631257599595,"0"
142,0.81903644261292,0.0518744120878913,-0.601852337209722,"0"
151,-1.51792588225069,-0.628977246565684,1.04938637993557,"1"
168,-0.876995688950278,-0.402026693681159,0.367352996766861,"0"
173,-0.494486314597727,-0.402026693681159,-0.140325987697063,"0"
