"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"1238",1001468,311,"Robinson","Alexander","SR","RB",202,946,9,0,0,0,0,0,201,1,26
"1240",1016582,311,"Tiller","Jerome","SO","QB",42,66,0,82,363,1,0,39,0,0,0
"1243",1024244,311,"White","James","FR","RB",5,12,0,0,0,0,0,0,5,0,1
"1245",1009286,311,"Williams","Jake","SR","WR",0,0,0,0,0,0,0,0,404,4,35
"1247",1024247,311,"Woody","Jeff","FR","RB",47,191,1,0,0,0,0,0,0,0,0
"1250",1001523,312,"Chaney, Jr.","Paul","SR","WR",6,53,0,0,0,0,0,0,15,0,1
"1251",1032223,312,"Coker","Marcus","FR","RB",114,622,3,0,0,0,0,0,23,0,2
"1253",1024292,312,"Davis","Keenan","SO","WR",0,0,0,0,0,0,0,0,131,1,11
"1255",1024282,312,"Derby","Zach","SO","TE",0,0,0,0,0,0,0,0,17,0,1
"1257",1032236,312,"Fiedorowicz","C.J.","FR","TE",0,0,0,0,0,0,0,0,0,0,0
"1261",1016631,312,"Hampton","Jewel","SO","RB",27,114,1,0,0,0,0,0,6,1,3
"1262",1016637,312,"Herman","Brad","JR","TE",0,0,0,0,0,0,0,0,154,0,9
"1265",1001544,312,"Johnson-Koulianos","Derrell","SR","WR",5,40,0,0,0,0,0,0,745,10,46
"1266",1009324,312,"Kuchel","Nick","SR","WR",0,0,0,0,0,0,0,0,0,0,0
"1268",1009350,312,"McNutt","Marvin","JR","WR",1,5,0,1,0,0,0,0,861,8,53
"1269",1009330,312,"Nordmann","Don","SR","WR",0,0,0,0,0,0,0,0,52,0,2
"1270",1009321,312,"O'Meara","Paki","SR","RB",10,56,0,0,0,0,0,0,0,0,0
"1271",1009354,312,"Reisner","Allen","SR","TE",0,0,0,0,0,0,0,0,460,2,42
"1272",1016634,312,"Robinson","Adam","SO","RB",203,941,10,0,0,0,0,0,290,1,24
