"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"3",1054121,5,"Bickley","Fransohn","FR","WR",7,29,0,0,0,0,0,0,407,2,39
"5",1030822,5,"Chisholm","Jawon","JR","RB",189,869,8,1,0,0,0,0,211,1,27
"6",1038354,5,"D'Orazio","Zach","SO","WR",1,-2,0,1,33,1,0,1,567,4,42
"7",1046121,5,"Davis","Imani","SO","WR",0,0,0,0,0,0,0,0,56,1,8
"8",1022884,5,"Dillard","Jerrod","SR","WR",0,0,0,0,0,0,0,0,320,1,26
"9",1046136,5,"Easton","Dalton","FR","QB",0,0,0,0,0,0,0,0,12,0,1
"11",1022881,5,"Frieson","Dee","SR","WR",0,0,0,0,0,0,0,0,14,0,6
"12",1046143,5,"Goodman","Tyrell","SO","WR",0,0,0,0,0,0,0,0,243,3,17
"14",1046125,5,"Green","Bryan","FR","RB",0,0,0,0,0,0,0,0,0,0,0
"15",1031638,5,"Hirschman","Nick","JR","QB",5,-23,1,15,162,3,0,8,0,0,0
"16",1046126,5,"Hundley","Conor","SO","RB",100,425,0,0,0,0,0,0,16,0,8
"17",1046124,5,"Jones","D.J.","FR","RB",25,109,0,0,0,0,0,0,2,0,1
"20",1034784,5,"Lewis","Jerome","JR","TE",0,0,0,0,0,0,0,0,15,1,4
"22",1031273,5,"Phillips","Drew","JR","WR",0,0,0,0,0,0,0,0,0,0,0
"23",1038356,5,"Pohl","Kyle","SO","QB",72,96,3,402,2438,14,10,225,0,0,0
"24",1046142,5,"Pratt","Andrew","SO","WR",0,0,0,0,0,0,0,0,188,1,10
"26",1022887,5,"Root","Jon","SR","TE",0,0,0,0,0,0,0,0,21,1,2
"27",1030818,5,"Sconiers","Keith","SR","WR",0,0,0,0,0,0,0,0,4,0,1
"30",1030823,5,"Smith","L.T.","JR","WR",0,0,0,0,0,0,0,0,428,3,24
"31",1054118,5,"Traylor-Bennett","Mykel","FR","WR",0,0,0,0,0,0,0,0,112,0,12
"32",1038361,5,"Williams","Tyler","JR","WR",1,2,0,0,0,0,0,0,17,0,6
"35",1046183,8,"Barrineau","Parker","SO","WR",0,0,0,0,0,0,0,0,16,0,2
"39",1022908,8,"Bell","Kenny","SR","WR",0,0,0,0,0,0,0,0,167,1,14
"40",1046170,8,"Black","Chris","FR","WR",1,31,1,0,0,0,0,0,79,2,8
"41",1046185,8,"Cooper","Amari","SO","WR",1,28,0,0,0,0,0,0,736,4,45
"43",1046153,8,"Drake","Kenyan","SO","RB",92,694,8,0,0,0,0,0,135,1,12
"44",1038433,8,"Faciane","Malcolm","SO","TE",0,0,0,0,0,0,0,0,14,0,2
"47",1030866,8,"Fowler","Jalston","JR","RB",20,88,0,0,0,0,0,0,15,5,7
"48",1046167,8,"Freitag","Kurt","FR","TE",0,0,0,0,0,0,0,0,11,0,1
"50",1038401,8,"Hart","Dee","SO","RB",22,78,1,0,0,0,0,0,0,0,0
"51",1054153,8,"Henry","Derrick","FR","RB",35,382,3,0,0,0,0,0,61,1,1
"52",1054178,8,"Howard","O.J.","FR","TE",0,0,0,0,0,0,0,0,269,2,14
"53",1038408,8,"Jones","Christion","JR","WR",2,34,0,0,0,0,0,0,349,2,36
"54",1046181,8,"Jones","Cyrus","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"55",1030861,8,"Jones","Harrison","JR","TE",0,0,0,0,0,0,0,0,12,0,1
"60",1022888,8,"McCarron","AJ","SR","QB",34,-22,0,336,3063,28,7,226,0,0,0
"61",1045160,8,"McCarron","Corey","SO","TE",0,0,0,0,0,0,0,0,3,0,1
"64",1022912,8,"Norwood","Kevin","SR","WR",0,0,0,0,0,0,0,0,568,7,38
"66",1046150,8,"Reed","Ty","SR","WR",0,0,0,0,0,0,0,0,3,0,1
"67",1030843,8,"Sims","Blake","JR","QB",15,61,0,29,167,2,0,18,0,0,0
"70",1054155,8,"Tenpenny","Altee","FR","RB",22,82,1,0,0,0,0,0,4,0,1
"71",1030879,8,"Vogler","Brian","JR","TE",0,0,0,0,0,0,0,0,71,1,8
"72",1030844,8,"White","DeAndrew","JR","WR",0,0,0,0,0,0,0,0,534,4,32
"73",1046166,8,"Yeldon","T.J.","SO","RB",207,1235,14,0,0,0,0,0,183,0,20
"74",1038440,9,"Adams","Dequindre","SO","WR",0,0,0,0,0,0,0,0,145,0,11
"76",1038473,9,"Backman","Kennard","JR","TE",0,0,0,0,0,0,0,0,302,2,28
"78",1038435,9,"Brown","Austin","SO","QB",21,-69,0,178,1199,9,3,93,0,0,0
"83",1030886,9,"Franklin","Greg","SR","RB",19,76,0,0,0,0,0,0,23,0,2
"84",1054195,9,"Green","J.J.","FR","WR",0,0,0,0,0,0,0,0,36,0,5
"85",1046218,9,"Height","Nyiakki","SO","WR",0,0,0,0,0,0,0,0,113,0,7
"86",1054210,9,"Henderson","Tristan","JR","TE",0,0,0,0,0,0,0,0,40,0,5
"88",1054206,9,"Howard","Jordan","FR","RB",145,881,2,0,0,0,0,0,83,1,4
