"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"1",85455,5,"Allen","Alex","JR","RB",32,152,3,0,0,0,0,0,22,0,2
"2",1015199,5,"Bowser","Deryn","JR","WR",0,0,0,0,0,0,0,0,785,4,64
"3",1000023,5,"Brown","Curtis","FR","WR",0,0,0,0,0,0,0,0,0,0,0
"5",84042,5,"Bruce","Jeremy","JR","WR",18,53,0,0,0,0,0,0,345,1,29
"7",1000005,5,"Cruz","Jose","SO","TE",0,0,0,0,0,0,0,0,0,0,0
"8",72960,5,"Flaherty","Brian","SR","TE",0,0,0,0,0,0,0,0,0,0,0
"9",1007911,5,"Harmon","Matt","JR","RB",1,5,0,0,0,0,0,0,0,0,0
"10",85471,5,"Jacquemain","Chris","JR","QB",55,46,1,399,2748,20,14,231,0,0,0
"11",77072,5,"Johnson","Andrew","SR","RB",56,278,2,0,0,0,0,0,64,0,11
"12",1000003,5,"Jones","Andre","SR","WR",4,51,0,0,0,0,0,0,678,7,47
"13",72963,5,"Kennedy","Dennis","SR","RB",239,1321,17,3,30,0,0,1,314,1,31
"17",83483,5,"Miller","Dashan","JR","WR",4,12,0,0,0,0,0,0,187,2,16
"19",1007931,5,"Owen","Alphonso","SR","WR",0,0,0,0,0,0,0,0,173,1,15
"20",85483,5,"Poindexter","Merce","SR","TE",0,0,0,0,0,0,0,0,145,4,12
"21",1007934,5,"Pride II","Gary","FR","WR",4,12,0,0,0,0,0,0,0,0,0
"22",1007915,5,"Rodgers","Matt","FR","QB",1,1,0,0,0,0,0,0,0,0,0
"25",1015200,5,"Thomas","Miller","FR","RB",0,0,0,0,0,0,0,0,0,0,0
"27",85491,5,"Tuzze","Joe","JR","RB",14,67,0,0,0,0,0,0,8,0,1
"30",1000070,8,"Alexander","Earl","SO","WR",0,0,0,0,0,0,0,0,121,0,8
"31",84905,8,"Coffee","Glen","JR","RB",233,1383,10,0,0,0,0,0,118,1,16
"33",1000072,8,"Dial","Preston","SO","TE",0,0,0,0,0,0,0,0,8,0,1
"36",1007945,8,"Goode","Demetrius","FR","RB",9,24,0,0,0,0,0,0,0,0,0
"37",1000074,8,"Grant","Terry","SO","RB",35,88,1,0,0,0,0,0,36,0,4
"38",1007946,8,"Griffin","Jeramie","FR","RB",6,29,0,0,0,0,0,0,9,0,1
"39",1007938,8,"Hanks","Darius","SO","WR",0,0,0,0,0,0,0,0,88,0,8
"40",1000047,8,"Huber","Baron","JR","RB",0,0,0,0,0,0,0,0,0,0,0
"41",1015238,8,"Ingram","Mark","FR","RB",143,728,12,0,0,0,0,0,54,0,7
"42",1015236,8,"Jackson","Chris","FR","WR",0,0,0,0,0,0,0,0,0,0,0
"44",1015262,8,"Jones","Julio","FR","WR",0,0,0,0,0,0,0,0,924,4,58
"46",1007949,8,"Maze","Marquis","FR","WR",1,1,0,0,0,0,0,0,137,2,11
"47",84908,8,"McCall","Travis","SR","TE",0,0,0,0,0,0,0,0,52,0,7
"48",1000069,8,"McCoy","Mike","JR","WR",0,0,0,0,0,0,0,0,191,1,16
"49",1000032,8,"McElroy","Greg","SO","QB",0,0,0,11,123,1,1,8,0,0,0
"50",73097,8,"Oakley","Will","SR","WR",0,0,0,0,0,0,0,0,27,0,2
"54",1015231,8,"Scott","B.J.","FR","WR",0,0,0,0,0,0,0,0,7,0,2
"57",1015235,8,"Smelley","Brad","FR","TE",0,0,0,0,0,0,0,0,98,0,7
"58",1000075,8,"Stover","Nikita","SR","WR",0,0,0,0,0,0,0,0,101,1,6
"60",1000054,8,"Upchurch","Roy","JR","RB",58,350,4,0,0,0,0,0,101,0,9
"62",73113,8,"Walker","Nick","SR","TE",0,0,0,0,0,0,0,0,324,2,32
"64",84902,8,"Wilson","John Parker","SR","QB",72,-6,5,323,2273,10,8,187,0,0,0
"68",1000098,9,"Anderson","Jeffery","SO","TE",0,0,0,0,0,0,0,0,368,3,23
