"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"1",1022862,5,"Alexander","Broderick","FR","RB",59,198,0,0,0,0,0,0,3,0,2
"2",85455,5,"Allen","Alex","SR","RB",59,188,5,1,80,1,0,1,40,0,6
"3",1015199,5,"Bowser","Deryn","SR","WR",0,0,0,0,0,0,0,0,307,5,21
"4",1000023,5,"Brown","Curtis","SO","WR",0,0,0,0,0,0,0,0,3,0,1
"5",1015225,5,"Brown","Nadir","FR","WR",0,0,0,0,0,0,0,0,64,0,5
"6",84042,5,"Bruce","Jeremy","SR","WR",8,33,0,0,0,0,0,0,219,1,29
"7",1015201,5,"Burney","Nate","JR","RB",14,47,0,0,0,0,0,0,40,0,5
"13",85471,5,"Jacquemain","Chris","SR","QB",10,16,0,44,320,4,1,26,0,0,0
"14",1000003,5,"Jones","Andre","SR","WR",6,34,1,1,0,0,0,0,553,4,33
"16",1022880,5,"LaFrance","Jeremy","JR","WR",0,0,0,0,0,0,0,0,520,2,43
"19",1015212,5,"Martin","Dale","SO","RB",25,167,0,0,0,0,0,0,37,0,8
"20",1022879,5,"Meriwether","Anthony","FR","WR",0,0,0,0,0,0,0,0,67,0,5
"21",83483,5,"Miller","Dashan","SR","WR",8,108,1,0,0,0,0,0,257,0,16
"22",1000013,5,"Morefield","LeVon","JR","RB",2,8,0,0,0,0,0,0,0,0,0
"23",1022859,5,"Nicely","Patrick","FR","QB",42,46,0,222,1349,6,6,120,0,0,0
"28",1007915,5,"Rodgers","Matt","SO","QB",40,156,3,69,405,1,6,39,0,0,0
"31",1015213,5,"Torrence","DeVoe","FR","RB",30,146,0,0,0,0,0,0,8,0,5
"32",85491,5,"Tuzze","Joe","SR","RB",55,244,2,0,0,0,0,0,29,0,5
"33",1015205,5,"Wackerly","Jared","FR","QB",1,2,0,5,36,0,0,4,0,0,0
"34",1022883,5,"Weber","Kyle","JR","TE",0,0,0,0,0,0,0,0,26,0,4
"36",1000070,8,"Alexander","Earl","JR","WR",0,0,0,0,0,0,0,0,52,0,4
"39",1022913,8,"Bowman","Michael","FR","WR",0,0,0,0,0,0,0,0,7,0,1
"41",1000072,8,"Dial","Preston","JR","TE",0,0,0,0,0,0,0,0,25,0,3
"43",1007964,8,"Gibson","Brandon","SO","WR",0,0,0,0,0,0,0,0,25,0,2
"44",1007945,8,"Goode","Demetrius","SO","RB",16,108,0,0,0,0,0,0,0,0,0
"45",1000074,8,"Grant","Terry","JR","RB",40,166,3,0,0,0,0,0,47,0,3
"47",1007938,8,"Hanks","Darius","JR","WR",0,0,0,0,0,0,0,0,272,3,17
"48",1000047,8,"Huber","Baron","SR","RB",0,0,0,0,0,0,0,0,4,0,1
"49",1015238,8,"Ingram","Mark","SO","RB",271,1658,17,1,0,0,0,0,334,3,32
"50",1015237,8,"Jackson","Star","FR","QB",6,3,0,18,116,0,0,13,0,0,0
"51",1015262,8,"Jones","Julio","SO","WR",2,4,0,0,0,0,0,0,596,4,43
"55",1007949,8,"Maze","Marquis","SO","WR",4,7,0,0,0,0,0,0,523,2,31
"57",1000069,8,"McCoy","Mike","SR","WR",0,0,0,0,0,0,0,0,149,1,10
"58",1000032,8,"McElroy","Greg","JR","QB",54,83,1,325,2508,17,4,198,0,0,0
"61",4,8,"Peek","Colin","SR","TE",0,0,0,0,0,0,0,0,313,3,26
"62",1022892,8,"Richardson","Trent","FR","RB",144,749,8,0,0,0,0,0,126,0,16
"64",1015235,8,"Smelley","Brad","SO","TE",0,0,0,0,0,0,0,0,50,0,7
"67",1000054,8,"Upchurch","Roy","SR","RB",48,299,2,0,0,0,0,0,72,1,12
"69",1015265,8,"Williams","Michael","FR","TE",0,0,0,0,0,0,0,0,29,0,3
"71",1015272,9,"Accursio","Sam","FR","TE",0,0,0,0,0,0,0,0,0,0,0
"72",1022918,9,"Adams","Nick","SO","WR",8,42,0,0,0,0,0,0,277,1,15
"73",1000098,9,"Anderson","Jeffery","JR","TE",0,0,0,0,0,0,0,0,398,5,26
"74",1007992,9,"Barnett","Dexter","SO","RB",25,101,1,0,0,0,0,0,15,0,6
"75",1022941,9,"Bento","Joe","FR","QB",1,3,0,0,0,0,0,0,0,0,0
"76",1022924,9,"Borne","Daniel","JR","RB",50,188,1,0,0,0,0,0,91,1,7
"77",1003878,9,"Brooks","Justin","JR","RB",45,211,1,0,0,0,0,0,1,0,3
"78",1015306,9,"Carter","Roddell","JR","WR",1,29,0,0,0,0,0,0,225,1,14
"79",1007995,9,"Dyck","Caleb","SO","RB",0,0,0,0,0,0,0,0,0,0,0
"80",1007971,9,"Ellis","Bryan","SO","QB",0,0,0,4,14,0,0,1,0,0,0
"82",1015305,9,"Ferrell","Mark","SR","WR",11,135,1,0,0,0,0,0,320,1,23
"84",1000089,9,"Forrest","Frantrell","JR","WR",7,71,0,0,0,0,0,0,558,9,34
"85",1008015,9,"Harris","Darryl","SR","WR",0,0,0,0,0,0,0,0,0,0,0
"86",1022950,9,"Harris","Justin","JR","TE",0,0,0,0,0,0,0,0,39,0,7
"87",1022920,9,"Hearn","Patrick","FR","WR",1,6,0,0,0,0,0,0,23,1,2
"90",1015271,9,"Isabelle","David","FR","QB",32,288,1,14,39,1,0,6,0,0,0
"91",1000084,9,"Jones","Mike","JR","WR",0,0,0,0,0,0,0,0,85,0,5
"92",81942,9,"Lankford","Zach","SR","TE",0,0,0,0,0,0,0,0,32,0,2
"94",1015284,9,"McDaniel","Austin","SO","WR",0,0,0,0,0,0,0,0,0,0,0
"95",81893,9,"Mencer","Sylvester","SR","WR",0,0,0,0,0,0,0,0,6,0,1
"96",1007993,9,"Mitchell","Jim","SR","RB",4,21,0,0,0,0,0,0,0,0,0
"101",1000085,9,"Slaughter","Rashaud","SR","RB",44,250,1,1,0,0,0,0,173,1,14
"103",81894,9,"Webb","Joe","SR","QB",226,1424,11,271,2299,21,8,162,12,1,2
"104",1007973,9,"Wright","Mario","JR","WR",0,0,0,0,0,0,0,0,97,1,8
"105",1015318,28,"Bass","Ryan","SO","RB",29,173,1,0,0,0,0,0,9,0,1
"109",86856,28,"DeWitty","Shaun","SR","RB",15,66,0,0,0,0,0,0,15,0,1
"113",1008045,28,"Knapp","Dan","SO","TE",0,0,0,0,0,0,0,0,11,0,2
"114",1022971,28,"Kohl","Trevor","SO","TE",0,0,0,0,0,0,0,0,35,0,4
"116",1022962,28,"Marshall","Cameron","FR","RB",64,280,2,0,0,0,0,0,44,0,6
"117",1015354,28,"Matsumoto","Brian","SR","WR",0,0,0,0,0,0,0,0,27,1,2
"118",1000102,28,"McGaha","Chris","SR","WR",0,0,0,0,0,0,0,0,690,4,57
"119",1022965,28,"Miles","Jamal","FR","RB",3,13,0,0,0,0,0,0,58,0,6
"122",1000123,28,"Nance","Dimitri","SR","RB",188,795,6,0,0,0,0,0,216,1,28
"123",1022956,28,"Osweiler","Brock","FR","QB",16,7,0,55,249,2,2,24,0,0,0
"127",1015329,28,"Robinson","Gerell","SO","WR",0,0,0,0,0,0,0,0,261,0,26
"128",1008044,28,"Simpson","T.J.","SO","WR",1,30,0,0,0,0,0,0,94,2,5
"129",1015328,28,"Skorupka","Ryan","JR","TE",0,0,0,0,0,0,0,0,0,0,0
"132",1000106,28,"Sullivan","Danny","SR","QB",27,-17,3,313,1939,10,9,168,0,0,0
"133",1008038,28,"Szakacsy","Samson","SO","QB",19,-5,1,50,362,4,1,32,0,0,0
"134",1008030,28,"Taylor","Kerry","JR","WR",0,0,0,0,0,0,0,0,259,0,22
"136",1000135,28,"Williams","Jovon","SR","TE",0,0,0,0,0,0,0,0,44,1,7
"137",1000129,28,"Williams","Kyle","SR","WR",5,73,0,1,32,1,0,1,815,8,57
"138",1008022,28,"Woods","Jarrell","SR","RB",9,42,1,0,0,0,0,0,4,0,1
"139",1015363,29,"Antolin","Keola","SO","RB",114,638,4,0,0,0,0,0,83,0,17
"141",1008053,29,"Beirne","Bryson","SO","QB",1,3,0,0,0,0,0,0,0,0,0
"142",1015364,29,"Booth","Nick","SR","RB",36,150,3,0,0,0,0,0,16,0,2
"144",1023021,29,"Cobb","Travis","JR","WR",2,6,0,0,0,0,0,0,15,0,1
"145",1015395,29,"Criner","Juron","SO","WR",8,63,0,0,0,0,0,0,581,9,45
"148",1000149,29,"Dean","Delashaun","JR","WR",9,68,0,0,0,0,0,0,396,2,42
"150",1015396,29,"Douglas","David","SO","WR",1,6,0,1,0,0,0,0,320,2,31
"151",1009818,29,"Foles","Nick","SO","QB",27,-73,3,400,2465,19,9,257,-9,0,1
"152",1008056,29,"Grigsby","Nic","JR","RB",79,567,5,0,0,0,0,0,57,0,13
"157",1023020,29,"Miller","Terrence","FR","TE",0,0,0,0,0,0,0,0,26,0,2
"161",1015365,29,"Nwoko","Greg","FR","RB",76,273,3,0,0,0,0,0,177,0,17
"164",1008069,29,"Roberts","David","SO","WR",0,0,0,0,0,0,0,0,410,1,43
"165",1015374,29,"Scott","Matt","SO","QB",41,309,0,82,461,1,3,44,0,0,0
"166",1000180,29,"Simmons","A.J.","JR","TE",0,0,0,0,0,0,0,0,132,1,10
"169",1000179,29,"Turner","Terrell","SR","WR",6,25,0,0,0,0,0,0,458,4,48
"171",1008054,29,"Wright","William","SO","WR",3,0,0,0,0,0,0,0,234,1,23
"172",1015405,30,"Aplin","Ryan","FR","QB",64,253,4,118,889,3,6,77,0,0,0
"173",81726,30,"Arnold","Reggie","SR","RB",168,723,12,0,0,0,0,0,112,0,18
"177",1015407,30,"Clements","Taylor","SR","WR",1,32,0,0,0,0,0,0,363,0,28
"179",1000187,30,"Gillott","Trevor","SR","TE",0,0,0,0,0,0,0,0,277,1,23
"181",1023038,30,"Henderson","Lucious","JR","WR",1,-1,0,0,0,0,0,0,0,0,0
"182",1015417,30,"Jones","Don","FR","RB",24,149,2,0,0,0,0,0,146,1,12
"183",81737,30,"Jordan","J.T.","SR","TE",0,0,0,0,0,0,0,0,4,1,1
"184",1008084,30,"Lawson","Derek","SO","RB",56,244,2,0,0,0,0,0,50,0,6
"185",81742,30,"Leonard","Corey","SR","QB",72,174,0,211,1416,7,6,114,0,0,0
"187",1015431,30,"McLennan","Jahbari","SR","WR",1,1,0,0,0,0,0,0,168,1,17
"188",1015420,30,"Murry","Kedric","FR","TE",0,0,0,0,0,0,0,0,109,0,7
"189",1015412,30,"Muse","Allen","FR","WR",0,0,0,0,0,0,0,0,57,0,6
"190",1015113,30,"Robinson","Anthony","JR","WR",0,0,0,0,0,0,0,0,23,0,2
"192",1015406,30,"Smith","Andre","FR","QB",12,46,0,1,18,0,0,1,0,0,0
"193",1015411,30,"Stockemer","Taylor","FR","WR",0,0,0,0,0,0,0,0,347,1,16
"195",1007616,30,"Thompkins","Brandon","SR","WR",2,-1,0,0,0,0,0,0,598,4,47
"196",1008102,30,"White","Jonathan","JR","WR",0,0,0,0,0,0,0,0,5,0,1
"197",1015441,31,"Adams","Joe","SO","WR",5,31,1,0,0,0,0,0,568,7,29
"199",1015458,31,"Childs","Greg","SO","WR",0,0,0,0,0,0,0,0,894,7,48
"200",1000228,31,"Cleveland","Ben","JR","TE",0,0,0,0,0,0,0,0,33,0,3
"201",1000197,31,"Crawford","London","SR","WR",0,0,0,0,0,0,0,0,184,0,14
"202",1023085,31,"Davis","Knile","FR","RB",33,163,4,0,0,0,0,0,4,0,2
"203",85026,31,"Fish","Reggie","SR","WR",0,0,0,0,0,0,0,0,57,0,4
"205",1010976,31,"Green","Broderick","SO","RB",103,443,11,0,0,0,0,0,104,1,8
"206",1023058,31,"Hamilton","Cobi","FR","WR",1,-8,0,0,0,0,0,0,347,3,19
"209",1009844,31,"Mallett","Ryan","SO","QB",58,-29,2,403,3624,30,7,225,0,0,0
"210",1007877,31,"Miller","Lucas","SR","WR",0,0,0,0,0,0,0,0,83,1,7
"212",1023093,31,"Nash","Colton","FR","TE",0,0,0,0,0,0,0,0,0,0,0
"216",1000196,31,"Salters","Carlton","JR","WR",0,0,0,0,0,0,0,0,81,1,3
"221",1008123,31,"Williams","D.J.","JR","TE",0,0,0,0,0,0,0,0,411,3,32
"222",1015456,31,"Wilson","Tyler","FR","QB",2,0,0,36,218,2,2,22,0,0,0
"223",1023063,31,"Wingo, Jr.","Ronnie","FR","RB",50,318,3,0,0,0,0,0,99,1,5
"224",1015446,31,"Wright","Jarius","SO","WR",0,0,0,0,0,0,0,0,681,5,41
"226",1015492,37,"Adams","Darvin","SO","WR",0,0,0,0,0,0,0,0,997,10,60
"229",1023112,37,"Benton","Deangelo","FR","WR",0,0,0,0,0,0,0,0,88,0,6
"231",1023138,37,"Blake","Emory","FR","WR",0,0,0,0,0,0,0,0,66,0,9
"233",1008146,37,"Burns","Kodi","JR","WR",56,175,5,15,75,2,2,5,46,1,5
"234",1008178,37,"Carr","Quindarius","SO","WR",0,0,0,0,0,0,0,0,78,1,2
"235",1000235,37,"Caudle","Neil","JR","QB",2,53,1,20,170,1,1,15,0,0,0
"239",1000236,37,"Fannin","Mario","JR","RB",34,285,0,0,0,0,0,0,413,3,42
