"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"1",85455,5,"Allen","Alex","SO","RB",101,414,7,0,0,0,0,0,86,0,10
"2",62905,5,"Arthur","Jabari","SR","WR",4,3,0,0,0,0,0,0,1171,10,86
"6",72960,5,"Flaherty","Brian","JR","TE",0,0,0,0,0,0,0,0,0,0,0
"7",72961,5,"Fuqua","Stephon","JR","WR",0,0,0,0,0,0,0,0,155,0,20
"9",85469,5,"Jackson","Carlton","SO","QB",66,211,2,95,583,4,4,47,0,0,0
"10",85471,5,"Jacquemain","Chris","SO","QB",48,-44,0,275,1623,11,10,154,0,0,0
"12",56593,5,"Kasparek","Kris","SR","TE",0,0,0,0,0,0,0,0,79,2,7
"13",72963,5,"Kennedy","Dennis","JR","RB",46,156,0,1,0,0,0,0,80,0,9
"14",72946,5,"McDaniel","Joe","JR","RB",0,0,0,0,0,0,0,0,0,0,0
"16",1000001,5,"Morris","Phillip","FR","RB",0,0,0,0,0,0,0,0,0,0,0
"17",1007931,5,"Owen","Alphonso","JR","WR",2,3,0,0,0,0,0,0,159,1,14
"19",72948,5,"Patterson","Marcus","SR","WR",0,0,0,0,0,0,0,0,10,0,2
"20",85483,5,"Poindexter","Merce","JR","TE",0,0,0,0,0,0,0,0,133,1,13
"24",1007933,5,"Sandilands","Richard","FR","WR",0,0,0,0,0,0,0,0,15,0,1
"26",85491,5,"Tuzze","Joe","SO","RB",16,55,0,0,0,0,0,0,36,0,6
"30",72964,5,"Williams","Brandon","JR","WR",0,0,0,0,0,0,0,0,78,0,11
"31",1007906,5,"Williams","Bryan","JR","RB",152,728,2,0,0,0,0,0,204,1,22
"32",1000070,8,"Alexander","Earl","FR","WR",0,0,0,0,0,0,0,0,40,0,4
"34",73057,8,"Brown","Keith","SR","WR",0,0,0,0,0,0,0,0,336,5,22
"35",73059,8,"Caddell","Matt","SR","WR",1,12,0,0,0,0,0,0,475,2,40
"36",84905,8,"Coffee","Glen","SO","RB",129,545,4,0,0,0,0,0,142,0,18
"38",1000072,8,"Dial","Preston","FR","TE",0,0,0,0,0,0,0,0,21,0,1
"42",1000074,8,"Grant","Terry","FR","RB",180,891,8,0,0,0,0,0,176,1,26
"44",73081,8,"Hall","DJ","SR","WR",2,7,0,0,0,0,0,0,1005,6,67
"45",1007938,8,"Hanks","Darius","FR","WR",0,0,0,0,0,0,0,0,6,0,1
"47",1000047,8,"Huber","Baron","SO","RB",0,0,0,0,0,0,0,0,4,0,1
"48",61,8,"Johns","Jimmy","JR","RB",17,69,1,0,0,0,0,0,41,0,3
"49",1015020,8,"Lowe","Jonathan","SR","RB",24,99,0,0,0,0,0,0,19,0,5
"51",84908,8,"McCall","Travis","JR","TE",0,0,0,0,0,0,0,0,45,0,6
"52",1000069,8,"McCoy","Mike","SO","WR",0,0,0,0,0,0,0,0,207,1,28
"53",1000032,8,"McElroy","Greg","FR","QB",0,0,0,9,73,1,0,8,0,0,0
"54",73097,8,"Oakley","Will","JR","WR",0,0,0,0,0,0,0,0,16,0,1
"57",1000036,8,"Sharrief","Ali","SO","RB",0,0,0,0,0,0,0,0,0,0,0
"59",1000075,8,"Stover","Nikita","JR","WR",1,-10,0,0,0,0,0,0,131,2,10
"61",1000054,8,"Upchurch","Roy","SO","RB",50,237,1,0,0,0,0,0,51,0,7
"63",73113,8,"Walker","Nick","JR","TE",0,0,0,0,0,0,0,0,204,2,23
"64",84902,8,"Wilson","John Parker","JR","QB",81,104,5,462,2846,18,12,255,0,0,0
"66",1000098,9,"Anderson","Jeffrey","FR","TE",0,0,0,0,0,0,0,0,216,1,15
"67",1007992,9,"Barnett","Dexter","FR","RB",19,36,0,0,0,0,0,0,8,0,2
"70",64977,9,"Coon","Nick","SR","WR",0,0,0,0,0,0,0,0,218,0,8
"75",1000089,9,"Forrest","Frantrell","FR","WR",5,22,0,0,0,0,0,0,563,5,49
"76",1008015,9,"Harris","Darryl","FR","WR",0,0,0,0,0,0,0,0,28,0,1
"78",81889,9,"Hunt","Sam","SR","QB",68,287,2,331,1905,10,14,155,0,0,0
"79",1008012,9,"Johnson","Justin","FR","WR",0,0,0,0,0,0,0,0,4,0,1
"80",1000084,9,"Jones","Mike","FR","WR",0,0,0,0,0,0,0,0,122,0,15
"81",1007994,9,"Jones","Reggie","SO","RB",0,0,0,0,0,0,0,0,0,0,0
"82",81893,9,"Mencer","Sylvester","JR","WR",2,0,0,0,0,0,0,0,134,1,13
"83",1007993,9,"Mitchell","Jim","SO","RB",18,83,0,0,0,0,0,0,55,0,6
"84",1008005,9,"Norman","Darell","FR","WR",4,12,0,0,0,0,0,0,0,0,0
"85",1007981,9,"Powers","Antoine","JR","WR",0,0,0,0,0,0,0,0,0,0,0
"87",81913,9,"Shepherd","Tony","SR","RB",4,15,0,0,0,0,0,0,7,0,1
"88",1000085,9,"Slaughter","Rashaud","SO","RB",100,325,1,0,0,0,0,0,123,0,22
"89",1000082,9,"Speight","Anthony","FR","QB",3,-3,0,0,0,0,0,0,0,0,0
"90",81906,9,"Thackston","Blake","SR","WR",0,0,0,0,0,0,0,0,70,0,5
"92",74174,9,"Thornton","Brandon","JR","RB",63,267,1,0,0,0,0,0,38,0,5
"93",81894,9,"Webb","Joseph","SO","QB",67,288,1,117,679,5,1,65,459,3,30
"94",1007973,9,"Wright","Mario","FR","WR",0,0,0,0,0,0,0,0,272,4,27
"95",69281,28,"Burgess","Rudy","SR","WR",6,42,0,0,0,0,0,0,467,3,34
"96",69289,28,"Carpenter","Rudy","JR","QB",93,-205,0,398,3202,25,10,246,-7,0,1
"97",1000134,28,"Conrad","Brady","SR","TE",0,0,0,0,0,0,0,0,54,1,7
"101",69300,28,"Gray","Jeff","SR","WR",0,0,0,0,0,0,0,0,36,0,4
