"","player_id","alt_player_id","player_name","pos_abbr","school","school_abbr","school_primary_color","school_alt_color","season","active","all_star","Total Tackles","Solo Tackles","Assist Tackles","Passes Defended","Sacks","Forced Fumbles","Interceptions","Interception Yards","Interception Touchdowns","Passing Touchdowns","Rushing Touchdowns","Receiving Touchdowns","Return Touchdowns","Total Touchdowns","Total Two Point Conversions","Kick Extra Points","Field Goals","Total Points","Punt Returns","Punt Return Yards","Punt Return Touchdowns","Punt Return Fair Catches","Long Punt Return","Kick Returns","Kick Return Yards","Kick Return Touchdowns","Long Kick Return","Rushing Attempts","Rushing Yards","Yards Per Rush Attempt","Long Rushing","Receptions","Receiving Yards","Yards Per Reception","Long Reception","Field Goal Made","Field Goal Attempts","Field Goal Percentage","FGM 1-19 yards","FGM 20-29 yards","FGM 30-39 yards","FGM 40-49 yards","FGM 50+ yards","Long Field Goal Made","Extra Points Made","Total Kicking Points","Completions","Passing Attempts","Completion Percentage","Passing Yards","Yards Per Pass Attempt","Longest Pass","Total Sacks","Passer Rating","Punts","Gross Average Punt Yards","Long Punt","Punt Yards"
"911",103553,3121410,"Parris Campbell","WR","Ohio State","OSU","#DE3121","#666666",2017,TRUE,FALSE,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"912",103553,3121410,"Parris Campbell","WR","Ohio State","OSU","#DE3121","#666666",2018,TRUE,FALSE,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"913",103728,3912028,"Nasir Adderley","S","Delaware","DEL","#033594","#e8ce31",2016,TRUE,FALSE,26,13,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"914",103728,3912028,"Nasir Adderley","S","Delaware","DEL","#033594","#e8ce31",2017,TRUE,FALSE,56,30,26,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"915",103728,3912028,"Nasir Adderley","S","Delaware","DEL","#033594","#e8ce31",2018,TRUE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"916",103541,4039007,"Taylor Rapp","S","Washington","WASH","#2B2F64","#e8e3d3",2016,TRUE,FALSE,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"917",103541,4039007,"Taylor Rapp","S","Washington","WASH","#2B2F64","#e8e3d3",2017,TRUE,FALSE,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"918",103541,4039007,"Taylor Rapp","S","Washington","WASH","#2B2F64","#e8e3d3",2018,TRUE,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"919",103727,3917909,"Juan Thornhill","S","Virginia","UVA","#00204e","#ffffff",2015,TRUE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"920",103727,3917909,"Juan Thornhill","S","Virginia","UVA","#00204e","#ffffff",2016,TRUE,FALSE,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"921",103727,3917909,"Juan Thornhill","S","Virginia","UVA","#00204e","#ffffff",2017,TRUE,FALSE,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"922",103727,3917909,"Juan Thornhill","S","Virginia","UVA","#00204e","#ffffff",2018,TRUE,FALSE,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"923",103557,4047650,"DK Metcalf","WR","Ole Miss","MISS","#001148","#00205b",2016,TRUE,FALSE,23,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"924",103557,4047650,"DK Metcalf","WR","Ole Miss","MISS","#001148","#00205b",2017,TRUE,FALSE,37,30,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"925",103557,4047650,"DK Metcalf","WR","Ole Miss","MISS","#001148","#00205b",2018,TRUE,FALSE,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926",103520,3915282,"Zach Allen","DE","Boston College","BC","#88001a","#a39161",2015,TRUE,FALSE,66,26,40,0,5.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"927",103520,3915282,"Zach Allen","DE","Boston College","BC","#88001a","#a39161",2016,TRUE,FALSE,55,33,22,1,10.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928",103520,3915282,"Zach Allen","DE","Boston College","BC","#88001a","#a39161",2017,TRUE,FALSE,72,39,33,2,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"929",103520,3915282,"Zach Allen","DE","Boston College","BC","#88001a","#a39161",2018,TRUE,FALSE,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930",103915,3932905,"Diontae Johnson","WR","Toledo","TOL","#00488F","#ffd51d",2015,TRUE,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"931",103915,3932905,"Diontae Johnson","WR","Toledo","TOL","#00488F","#ffd51d",2017,TRUE,FALSE,20,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932",103915,3932905,"Diontae Johnson","WR","Toledo","TOL","#00488F","#ffd51d",2018,TRUE,FALSE,95,52,43,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933",103526,4034967,"Jachai Polite","DE","Florida","FLA","#0021A5","#0021a5",2016,TRUE,FALSE,137,85,52,2,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
