"","Player.Code","Team.Code","Last.Name","First.Name","Class","Position","Rush.Att","Rush.Yard","Rush.TD","Pass.Att","Pass.Yard","Pass.TD","Pass.Int","Pass.Comp","Rec.Yards","Rec.TD","Rec"
"1",1022862,5,"Alexander","Broderick","JR","RB",0,0,0,0,0,0,0,0,0,0,0
"2",1030822,5,"Chisholm","Jawon","SO","RB",180,953,5,0,0,0,0,0,310,2,38
"3",1038354,5,"D'Orazio","Zach","FR","WR",0,0,0,0,0,0,0,0,197,0,15
"4",1046121,5,"Davis","Imani","FR","WR",3,13,0,0,0,0,0,0,99,0,14
"5",1022884,5,"Dillard","Jerrod","JR","WR",0,0,0,0,0,0,0,0,401,9,29
"8",1022860,5,"Fleming","Will","JR","TE",0,0,0,0,0,0,0,0,8,0,2
"10",1022881,5,"Frieson","Dee","JR","WR",1,-4,0,0,0,0,0,0,400,4,48
"11",1046143,5,"Goodman","Tyrell","FR","WR",0,0,0,0,0,0,0,0,113,2,14
"14",1015917,5,"Hines","Quentin","SR","RB",35,194,1,0,0,0,0,0,54,0,7
"15",1046126,5,"Hundley","Conor","FR","RB",73,279,3,0,0,0,0,0,59,0,5
"17",1015226,5,"Ladrach","Rhyne","SR","TE",0,0,0,0,0,0,0,0,12,1,1
"18",1046120,5,"Lawrence","Hakeem","FR","RB",22,82,0,0,0,0,0,0,12,0,1
"19",1038356,5,"Pohl","Kyle","FR","QB",11,26,0,58,366,5,2,38,0,0,0
"20",1030809,5,"Potts","Dylan","JR","WR",0,0,0,0,0,0,0,0,2,0,2
"22",1046142,5,"Pratt","Andrew","FR","WR",0,0,0,0,0,0,0,0,156,2,10
"23",1022861,5,"Procter","Nolan","JR","WR",0,0,0,0,0,0,0,0,6,0,1
"25",1022887,5,"Root","Jon","JR","TE",0,0,0,0,0,0,0,0,0,0,0
"26",1030818,5,"Sconiers","Keith","JR","WR",0,0,0,0,0,0,0,0,479,1,41
"27",1030823,5,"Smith","L.T.","SO","WR",0,0,0,0,0,0,0,0,509,3,48
"29",1030832,5,"Suel","Marquelo","SR","WR",0,0,0,0,0,0,0,0,820,5,76
"30",1021852,5,"Williams","Dalton","SR","QB",29,-125,0,522,3387,25,16,326,0,0,0
"31",1038361,5,"Williams","Tyler","SO","RB",2,-8,0,0,0,0,0,0,116,1,12
"34",1022908,8,"Bell","Kenny","JR","WR",0,0,0,0,0,0,0,0,431,3,17
"36",1046185,8,"Cooper","Amari","FR","WR",0,0,0,0,0,0,0,0,999,11,58
"37",1046153,8,"Drake","Kenyan","FR","RB",42,281,5,0,0,0,0,0,0,0,0
"39",1038402,8,"Ely","Phillip","FR","QB",1,-2,0,4,42,1,0,3,0,0,0
"41",1030866,8,"Fowler","Jalston","JR","RB",11,85,0,0,0,0,0,0,6,0,1
"43",1038401,8,"Hart","Dee","FR","RB",21,88,0,0,0,0,0,0,18,0,2
"44",1030846,8,"Howell","Ben","SR","RB",18,52,0,0,0,0,0,0,0,0,0
"45",1038413,8,"Johnson","Kelly","SR","TE",0,0,0,0,0,0,0,0,39,0,5
"46",1038408,8,"Jones","Christion","SO","WR",2,6,0,0,0,0,0,0,368,4,27
"47",1030861,8,"Jones","Harrison","SO","TE",0,0,0,0,0,0,0,0,0,0,0
"48",1022896,8,"Lacy","Eddie","JR","RB",204,1322,17,0,0,0,0,0,189,2,22
"51",1022888,8,"McCarron","AJ","JR","QB",49,4,1,314,2933,30,3,211,0,0,0
"54",1022912,8,"Norwood","Kevin","JR","WR",0,0,0,0,0,0,0,0,461,4,29
"59",1038432,8,"Shinn","Marvin","FR","WR",0,0,0,0,0,0,0,0,42,0,6
