Year,Round,Pick,Overall,Name,Team,Position,School,Rec.Yards,Rec.TD,Rec
2013,5,28,161,Tavarres King,BRONCOS,WR,Georgia,NA,NA,NA
2014,1,4,4,Sammy Watkins,BILLS,WR,Clemson,1464,12,101
2014,1,7,7,Mike Evans,BUCCANEERS,WR,Texas A&M,1394,12,69
2014,1,12,12,Odell Beckham,GIANTS,WR,Louisiana State,1152,8,59
2014,1,20,20,Brandin Cooks,SAINTS,WR,Oregon State,1730,16,128
2014,1,28,28,Kelvin Benjamin,PANTHERS,WR,Florida State,1011,15,54
2014,2,7,39,Marqise Lee,JAGUARS,WR,USC,1721,14,118
2014,2,10,42,Jordan Matthews,EAGLES,WR,Vanderbilt,1477,7,112
2014,2,13,45,Paul Richardson,SEAHAWKS,WR,Colorado,1343,10,83
2014,2,21,53,Davante Adams,PACKERS,WR,Fresno State,1719,24,131
2014,2,24,56,Cody Latimer,BRONCOS,WR,Indiana,1096,9,72
2014,2,29,61,Allen Robinson,JAGUARS,WR,Penn State,1432,6,97
2014,2,31,63,Jarvis Landry,DOLPHINS,WR,Louisiana State,1193,10,77
2014,3,22,86,Josh Huff,EAGLES,WR,Oregon,1140,12,62
2014,3,26,90,Donte Moncrief,COLTS,WR,Mississippi,979,10,66
2014,3,27,91,John Brown,CARDINALS,WR,Pittsburg State (KS),1198,14,61
2014,4,4,104,Jalen Saunders,JETS,WR,Oklahoma,1065,12,50
2014,4,6,106,Bruce Ellington,49ERS,WR,South Carolina,775,8,49
2014,4,15,115,Shaq Evans,JETS,WR,UCLA,NA,NA,NA
2014,4,18,118,Martavis Bryant,STEELERS,WR,Clemson,828,7,42
2014,4,23,123,Kevin Norwood,SEAHAWKS,WR,Alabama,568,7,38
2014,5,2,142,Ryan Grant,TEAM,WR,Tulane,1149,6,76
2014,5,6,146,Devin Street,COWBOYS,WR,Pittsburgh,975,5,73
2014,5,36,176,Jared Abbrederis,PACKERS,WR,Wisconsin,1081,7,78
2015,1,4,4,Amari Cooper,RAIDERS,WR,Alabama,999,11,58
2015,1,7,7,Kevin White,BEARS,WR,West Virginia,507,5,35
2015,1,14,14,DeVante Parker,DOLPHINS,WR,Louisville,885,12,55
2015,1,20,20,Nelson Agholor,EAGLES,WR,USC,918,6,56
2015,1,26,26,Breshad Perriman,RAVENS,WR,Central Florida,811,4,39
2015,1,29,29,Phillip Dorsett,COLTS,WR,Miami (FL),842,4,58
2015,2,5,37,Devin Smith,JETS,WR,Ohio State,660,8,44
2015,2,8,40,Dorial Green-Beckham,TITANS,WR,Missouri,883,12,59
2015,2,9,41,Devin Funchess,PANTHERS,WR,Michigan,748,6,49
2015,3,5,69,Tyler Lockett,SEAHAWKS,WR,Kansas State,1262,11,81
2015,3,6,70,Jaelen Strong,TEXANS,WR,Arizona State,1122,7,75
2015,3,12,76,Chris Conley,CHIEFS,WR,Georgia,288,2,16
2015,3,23,87,Sammie Coates,STEELERS,WR,Auburn,902,7,42
2015,3,30,94,Ty Montgomery,PACKERS,WR,Stanford,958,10,61
2015,4,6,105,Jamison Crowder,TEAM,WR,Duke,1360,8,108
2015,4,8,107,Justin Hardy,FALCONS,WR,East Carolina,1284,8,114
2015,4,24,123,Vince Mayle,BROWNS,WR,Washington State,539,7,42
2015,4,33,132,DeAndre Smelter,49ERS,WR,Georgia Tech,345,4,21
2015,5,3,139,Rashad Greene,JAGUARS,WR,Florida State,1128,9,76
2015,5,10,146,Stefon Diggs,VIKINGS,WR,Maryland,848,6,54
2015,5,20,156,Tony Lippett,DOLPHINS,WR,Michigan State,613,2,44
2015,5,23,159,J.J. Nelson,CARDINALS,WR,Alabama-Birmingham,NA,NA,NA
2015,5,26,162,Kenny Bell,BUCCANEERS,WR,Nebraska,863,8,50
2015,5,39,175,Keith Mumphery,TEXANS,WR,Michigan State,515,1,42
2016,1,15,15,Corey Coleman,BROWNS,WR,Baylor,527,2,35
2016,1,21,21,Will Fuller,TEXANS,WR,Notre Dame,1258,14,62
2016,1,22,22,Josh Doctson,TEAM,WR,Texas Christian,440,4,36
2016,1,23,23,Laquon Treadwell,VIKINGS,WR,Mississippi,608,5,72
2016,2,9,40,Sterling Shepard,GIANTS,WR,Oklahoma,621,3,45
2016,2,16,47,Michael Thomas,SAINTS,WR,Ohio State,1391,14,71
2016,2,24,55,Tyler Boyd,BENGALS,WR,Pittsburgh,1174,7,85
2016,3,22,85,Braxton Miller,TEXANS,WR,Ohio State,NA,NA,NA
2016,3,23,86,Leonte Carroo,DOLPHINS,WR,Rutgers,478,9,28
2016,4,9,107,Chris Moore,RAVENS,WR,Cincinnati,645,9,45
2016,4,14,112,Malcolm Mitchell,PATRIOTS,WR,Georgia,665,4,45
2016,4,16,114,Ricardo Louis,BROWNS,WR,Auburn,325,2,28
2016,4,19,117,Pharoh Cooper,RAMS,WR,South Carolina,54,1,3
2016,4,28,126,Demarcus Robinson,CHIEFS,WR,Florida,43,0,6
2016,5,1,140,Tajae Sharpe,TITANS,WR,Massachusetts,680,4,61
2016,5,15,154,Jordan Payton,BROWNS,WR,UCLA,440,1,38
2016,5,26,163,Trevor Davis,PACKERS,WR,California,366,3,28
2016,5,28,165,Tyreek Hill,CHIEFS,WR,West Alabama,NA,NA,NA
2016,5,35,172,Rashard Higgins,BROWNS,WR,Colorado State,837,6,68
2017,1,5,5,Corey Davis,TITANS,WR,Western Michigan,941,6,67
2017,1,7,7,Mike Williams,CHARGERS,WR,Clemson,837,10,60
2017,1,9,9,John Ross,BENGALS,WR,Washington,208,1,16
2017,2,5,37,Zay Jones,BILLS,WR,East Carolina,1746,8,158
2017,2,8,40,Curtis Samuel,PANTHERS,WR,Ohio State,865,14,74
2017,2,30,62,JuJu Smith-Schuster,STEELERS,WR,USC,1454,10,89
2017,3,5,69,Cooper Kupp,RAMS,WR,Eastern Washington,189,3,10
2017,3,8,72,Taywan Taylor,TITANS,WR,Western Kentucky,270,0,24
2017,3,15,79,ArDarius Stewart,JETS,WR,Alabama,NA,NA,NA
2017,3,18,82,Carlos Henderson,BRONCOS,WR,Louisiana Tech,1535,19,82
2017,3,20,84,Chris Godwin,BUCCANEERS,WR,Penn State,1101,10,69
2017,3,32,96,Kenny Golladay,LIONS,WR,Northern Illinois,47,0,3
2017,3,34,98,Chad Williams,CARDINALS,WR,Grambling State,42,0,2
2017,3,42,106,Amara Darboh,SEAHAWKS,WR,Michigan,0,0,0
2017,4,3,110,Dede Westbrook,JAGUARS,WR,Oklahoma,1524,17,80
2017,4,10,117,Josh Reynolds,RAMS,WR,Texas A&M,1039,12,61
2017,4,12,118,Mack Hollins,EAGLES,WR,North Carolina,0,0,0
2017,4,22,128,Josh Malone,BENGALS,WR,Tennessee,972,11,50
2017,4,27,133,Ryan Switzer,COWBOYS,WR,North Carolina,1112,6,96
2017,4,33,139,Jehu Chesson,CHIEFS,WR,Michigan,221,1,15
2017,4,35,141,Chad Hansen,JETS,WR,California,28,0,4
2017,5,22,166,Shelton Gibson,EAGLES,WR,West Virginia,951,8,53
2017,5,27,170,Rodney Adams,VIKINGS,WR,South Florida,15,0,2
2017,5,29,172,Isaiah McKenzie,BRONCOS,WR,Georgia,633,14,44
2017,5,32,175,DeAngelo Yancey,PACKERS,WR,Purdue,546,2,32
2017,5,34,177,Trent Taylor,49ERS,WR,Louisiana Tech,260,2,28
2018,1,24,24,D.J. Moore,PANTHERS,WR,Maryland,1033,16,80
2018,1,26,26,Calvin Ridley,FALCONS,WR,Alabama,1045,14,89
2018,2,8,40,Courtland Sutton,BRONCOS,WR,Southern Methodist,1246,10,76
2018,2,12,44,Dante Pettis,49ERS,WR,Washington,822,15,53
2018,2,15,47,Christian Kirk,CARDINALS,WR,Texas A&M,1009,14,80
2018,2,19,51,Anthony Miller,BEARS,WR,Memphis,1462,18,96
2018,2,28,60,James Washington,STEELERS,WR,Oklahoma State,1549,13,74
2018,2,29,61,DJ Chark,JAGUARS,WR,Louisiana State,873,3,40
2018,3,17,81,Michael Gallup,COWBOYS,WR,Colorado State,1413,14,100
2018,3,27,91,Tre\'Quan Smith,SAINTS,WR,Central Florida,NA,NA,NA
2018,4,3,103,Keke Coutee,TEXANS,WR,Texas Tech,1429,10,93
2018,4,5,105,Antonio Callaway,BROWNS,WR,Florida,721,6,54
2018,4,13,113,DaeSean Hamilton,BRONCOS,WR,Penn State,857,9,53
2018,4,32,132,Jaleel Scott,RAVENS,WR,New Mexico State,1079,9,76
2018,4,33,133,J\'Mon Moore,PACKERS,WR,Missouri,NA,NA,NA
2018,5,7,144,Justin Watson,BUCCANEERS,WR,Pennsylvania,1082,14,81
2018,5,25,162,Jordan Lasley,RAVENS,WR,UCLA,1264,9,69
2018,5,37,174,Marquez Valdes-Scantling,PACKERS,WR,South Florida,281,0,22
2019,1,25,25,Marquise Brown,RAVENS,WR,Oklahoma,1318,10,75
2019,1,32,32,N\'Keal Harry,PATRIOTS,WR,Arizona State,NA,NA,NA
2019,2,4,36,Deebo Samuel,49ERS,WR,South Carolina,882,11,62
2019,2,19,51,A.J. Brown,TITANS,WR,Mississippi,1320,12,85
2019,2,24,56,Mecole Hardman,CHIEFS,WR,Georgia,532,14,34
2019,2,25,57,JJ Arcega-Whiteside,EAGLES,WR,Stanford,1059,14,63
2019,2,27,59,Parris Campbell,COLTS,WR,Ohio State,1063,12,90
2019,2,30,62,Andy Isabella,CARDINALS,WR,Massachusetts,1063,12,90
2019,2,32,64,D.K. Metcalf,SEAHAWKS,WR,Mississippi,646,7,49
2019,3,2,66,Diontae Johnson,STEELERS,WR,Toledo,1278,13,74
2019,3,3,67,Jalen Hurd,49ERS,WR,Baylor,946,4,69
2019,3,12,76,Terry McLaurin,TEAM,WR,Ohio State,701,11,35
2019,3,29,93,Miles Boykin,RAVENS,WR,Notre Dame,872,8,59
2019,4,1,103,Hakeem Butler,CARDINALS,WR,Iowa State,1318,9,60
2019,4,18,120,Gary Jennings,SEAHAWKS,WR,West Virginia,917,13,54
2019,4,24,126,Riley Ridley,BEARS,WR,Georgia,570,9,44
2019,5,11,149,Hunter Renfrow,RAIDERS,WR,Clemson,602,6,60
2019,5,26,164,EJ Speed,COLTS,WR,Tarleton State,NA,NA,NA
